"C 2-SAT",("S And"),0.55
"C 2-SAT",("S Bit"),0.24
"C 2-SAT",("S Bitwise"),0.03
"C 2-SAT",("S Directed Graph";"S Graph";"S Bit";"S Bitwise";"S And";"S Or"),0.06
"C 2-SAT",("S Directed Graph"),0.26
"C 2-SAT",("S Graph"),0.8
"C 2-SAT",("S Or"),0.61
"C 2-SAT",(NOT "S Convex Hull Trick"),0.13
"C Aho-Corasick",("S Breadth First Search"),0.28
"C Aho-Corasick",("S Depth First Search"),0.99
"C Aho-Corasick",("S Graph"),0.97
"C Aho-Corasick",("S Pattern Matching"),0.97
"C Aho-Corasick",("S String Comparing"),0.38
"C Aho-Corasick",("S Tree";"S String Comparing";"S Pattern Matching";"S Breadth First Search";"S Depth First Search";"S Graph"),0.1
"C Aho-Corasick",("S Tree"),0.87
"C Aho-Corasick",(NOT "S Euler Tour"),0.51
"C Binary Exponentiation",("S Exponentiation"),0.14
"C Binary Exponentiation",("S Large Exponents"),0.98
"C Binary Exponentiation",("S Matrix Multiplication"),0.01
"C Binary Exponentiation",("S Modular Arithmetic";"S Matrix Multiplication";"S Exponentiation";"S Large Exponents"),0.1
"C Binary Exponentiation",("S Modular Arithmetic"),0.47
"C Binary Exponentiation",(NOT "S Geometry"),0.96
"C Binary Lifting",("S Array"),0.56
"C Binary Lifting",("S Depth First Search"),0.75
"C Binary Lifting",("S Graph"),0.18
"C Binary Lifting",("S Lowest Common Ancestor";"S Graph";"S Tree";"S Lowest Common Ancestor";"S Depth First Search";"S Array"),0.1
"C Binary Lifting",("S Lowest Common Ancestor"),0.09
"C Binary Lifting",("S Lowest Common Ancestor"),0.42
"C Binary Lifting",("S Tree"),0.27
"C Binary Lifting",(NOT "S Coefficients"),0.16
"C Binary Search",("S Divide and Conquer";"S Search"),0.03
"C Binary Search",("S Divide and Conquer"),0.04
"C Binary Search",("S Search"),0.74
"C Binary Search",(NOT "S Greatest Common Divisor"),0.39
"C Binomial Coefficients",("S Chinese Remainder Theorem"),0.5
"C Binomial Coefficients",("S Coefficients"),0.35
"C Binomial Coefficients",("S Combinatory"),0.8
"C Binomial Coefficients",("S Coprime"),0.3
"C Binomial Coefficients",("S Factorial"),0.2
"C Binomial Coefficients",("S Modular Multiplicative Inverse"),0.47
"C Binomial Coefficients",("S Modular Operations";"S Permutations";"S Prime Numbers";"S Coefficients";"S Modular Multiplicative Inverse";"S Coprime";"S Chinese Remainder Theorem";"S Combinatory";"S Factorial"),0.03
"C Binomial Coefficients",("S Modular Operations"),0.69
"C Binomial Coefficients",("S Permutations"),0.89
"C Binomial Coefficients",("S Prime Numbers"),0.1
"C Binomial Coefficients",(NOT "S 2-SAT"),0.04
"C Bipartite Graph",("S Bipartite Graph"),0.69
"C Bipartite Graph",("S Breadth First Search"),0.38
"C Bipartite Graph",("S Disjoint Set Union"),0.33
"C Bipartite Graph",("S Graph";"S Disjoint Set Union";"S Undirected Graph";"S Breadth First Search";"S Bipartite Graph"),0.05
"C Bipartite Graph",("S Graph"),0.38
"C Bipartite Graph",("S Undirected Graph"),0.88
"C Bipartite Graph",(NOT "S Fast Fourier Transformation"),0.05
"C Bit Manipulation",("S And"),0.98
"C Bit Manipulation",("S Binary";"S Bitwise";"S Two's complement";"S Shift";"S Power of Two";"S And";"S Or";"S Xor";"S Bit"),0.06
"C Bit Manipulation",("S Binary"),0.65
"C Bit Manipulation",("S Bit"),0.2
"C Bit Manipulation",("S Bitwise"),0.2
"C Bit Manipulation",("S Or"),0.95
"C Bit Manipulation",("S Power of Two"),0.12
"C Bit Manipulation",("S Shift"),0.2
"C Bit Manipulation",("S Two's complement"),0.77
"C Bit Manipulation",("S Xor"),0.7
"C Bit Manipulation",(NOT "S Data Structure"),0.07
"C Breadth First Search",("S Connected Components"),0.07
"C Breadth First Search",("S Directed Graph"),0.38
"C Breadth First Search",("S Graph";"S Shortest Path";"S Unweighted Graph";"S Directed Graph";"S Undirected Graph";"S Connected Components";"S Width Search"),0.1
"C Breadth First Search",("S Graph"),0.01
"C Breadth First Search",("S Shortest Path"),0.63
"C Breadth First Search",("S Undirected Graph"),0.94
"C Breadth First Search",("S Unweighted Graph"),0.5
"C Breadth First Search",("S Width Search"),0.8
"C Breadth First Search",(NOT "S Linear Diophantine Equations"),0.79
"C Catalan Numbers",("S Binary Search Tree"),0.65
"C Catalan Numbers",("S Binomial Coefficients"),0.59
"C Catalan Numbers",("S Combinatory";"S Binomial Coefficients";"S Modular Operations";"S Binary Search Tree";"S Factorial"),0.06
"C Catalan Numbers",("S Combinatory"),0.82
"C Catalan Numbers",("S Factorial"),0.97
"C Catalan Numbers",("S Modular Operations"),0.66
"C Catalan Numbers",(NOT "S Topological Sorting"),0.13
"C Chinese Remainder Theorem",("S Congruences"),0.14
"C Chinese Remainder Theorem",("S Coprime";"S Congruences";"S Modular Inverse";"S Least common multiple";"S Modular Multiplicative Inverse"),0.05
"C Chinese Remainder Theorem",("S Coprime"),0.11
"C Chinese Remainder Theorem",("S Least common multiple"),0.13
"C Chinese Remainder Theorem",("S Modular Inverse"),0.68
"C Chinese Remainder Theorem",("S Modular Multiplicative Inverse"),0.85
"C Chinese Remainder Theorem",(NOT "S Graph"),0.14
"C Circle-Circle Intersection",("S Center of Circles"),0.98
"C Circle-Circle Intersection",("S Circle-Line Intersection"),0.51
"C Circle-Circle Intersection",("S Geometry";"S Radius of Circles";"S Center of Circles";"S Vectors";"S Circle-Line Intersection";"S Two-Dimesional Plane"),0.05
"C Circle-Circle Intersection",("S Geometry"),0.23
"C Circle-Circle Intersection",("S Radius of Circles"),0.69
"C Circle-Circle Intersection",("S Two-Dimesional Plane"),0.85
"C Circle-Circle Intersection",("S Vectors"),0.54
"C Circle-Circle Intersection",(NOT "S Chinese Remainder Theorem"),0.69
"C Circle-Line Intersection",("S Center of a Circle"),1
"C Circle-Line Intersection",("S Geometry";"S Radius of a Circle";"S Center of a Circle";"S Vectors";"S Two-Dimesional Plane"),0.1
"C Circle-Line Intersection",("S Geometry"),0.19
"C Circle-Line Intersection",("S Radius of a Circle"),0.53
"C Circle-Line Intersection",("S Two-Dimesional Plane"),0.74
"C Circle-Line Intersection",("S Vectors"),0.16
"C Circle-Line Intersection",(NOT "S Sieve of Eratosthenes"),0.75
"C Convex Hull Trick",("S Clockwise"),0.2
"C Convex Hull Trick",("S Collinear"),0.33
"C Convex Hull Trick",("S Convex Polygon"),0.8
"C Convex Hull Trick",("S Counterclockwise"),0.71
"C Convex Hull Trick",("S Cyclic Shift"),0.52
"C Convex Hull Trick",("S Geometry";"S Convex Polygon";"S Vector";"S Polar Distance";"S Collinear";"S Sets";"S Orientation";"S Clockwise";"S Counterclockwise";"S Cyclic Shift"),0.02
"C Convex Hull Trick",("S Geometry"),0.96
"C Convex Hull Trick",("S Orientation"),0.65
"C Convex Hull Trick",("S Polar Distance"),0.12
"C Convex Hull Trick",("S Sets"),0.93
"C Convex Hull Trick",("S Vector"),0.26
"C Convex Hull Trick",(NOT "S Euler's Totient Function"),0.19
"C Delaunay Triangulation",("S Convex Hull Trick"),0.48
"C Delaunay Triangulation",("S Divide and Conquer"),0.73
"C Delaunay Triangulation",("S Geometry";"S Polygons";"S Convex Hull Trick";"S Voronoi Diagram";"S Divide and Conquer"),0.06
"C Delaunay Triangulation",("S Geometry"),0.63
"C Delaunay Triangulation",("S Polygons"),0.1
"C Delaunay Triangulation",("S Voronoi Diagram"),0.45
"C Delaunay Triangulation",(NOT "S Knuth-Morris-Pratt"),0.52
"C Depth First Search",("S Connected Components"),0.67
"C Depth First Search",("S Depth Search"),0.04
"C Depth First Search",("S Directed Graph"),0.06
"C Depth First Search",("S Graph";"S Shortest Path";"S Unweighted Graph";"S Directed Graph";"S Undirected Graph";"S Connected Components";"S Depth Search"),0.08
"C Depth First Search",("S Graph"),0.51
"C Depth First Search",("S Shortest Path"),0.42
"C Depth First Search",("S Undirected Graph"),0.42
"C Depth First Search",("S Unweighted Graph"),0.86
"C Depth First Search",(NOT "S Sieve of Eratosthenes"),0.07
"C Dijkstra",("S Dense Graph"),0.15
"C Dijkstra",("S Directed Graph"),0.57
"C Dijkstra",("S Graph";"S Directed Graph";"S Undirected Weighted Graph";"S Single Source Shortest Path";"S Sparse Graph";"S Dense Graph"),0.09
"C Dijkstra",("S Graph"),0.84
"C Dijkstra",("S Single Source Shortest Path"),0.03
"C Dijkstra",("S Sparse Graph"),0.13
"C Dijkstra",("S Undirected Weighted Graph"),0.7
"C Dijkstra",(NOT "S Automaton"),0.44
"C Dinic",("S Acyclic Graph"),0.74
"C Dinic",("S Depth First Search"),0.99
"C Dinic",("S Graph";"S Maximum Flow";"S Residual Network";"S Single Source Shortest Path";"S Acyclic Graph";"S Depth First Search"),0.01
"C Dinic",("S Graph"),0.89
"C Dinic",("S Maximum Flow"),0.43
"C Dinic",("S Residual Network"),0.25
"C Dinic",("S Single Source Shortest Path"),0.83
"C Dinic",(NOT "S Voronoi Diagram"),0.74
"C Disjoint Set Union",("S Combine Sets"),0.86
"C Disjoint Set Union",("S Data Structure";"S Tree";"S Combine Sets";"S Union-Find"),0.08
"C Disjoint Set Union",("S Data Structure"),0.54
"C Disjoint Set Union",("S Tree"),0.69
"C Disjoint Set Union",("S Union-Find"),0.64
"C Disjoint Set Union",(NOT "S Chinese Remainder Theorem"),0.44
"C Divide and Conquer",("S Dynamic Programming";"S Optimization"),0.08
"C Divide and Conquer",("S Dynamic Programming"),0.94
"C Divide and Conquer",("S Optimization"),0.85
"C Divide and Conquer",(NOT "S Suffix Array"),0.89
"C Dynamic Programming",("S Bottom-Up"),0.8
"C Dynamic Programming",("S Breadth First Search"),0.19
"C Dynamic Programming",("S Depth First Search"),0.24
"C Dynamic Programming",("S Search"; "S Top-Down"; "S Bottom-Up"; "S Breadth First Search"; "S Depth First Search"),0.03
"C Dynamic Programming",("S Search"),0.1
"C Dynamic Programming",("S Top-Down"),0.59
"C Dynamic Programming",(NOT "S Sqrt Decomposition"),0.77
"C Equation of a Line For a Segment",("S Geometry";"S Line Equation";"S Greatest Common Divisor";"S Normalization";"S Vector";"S Two-Dimesional Plane"),0.08
"C Equation of a Line For a Segment",("S Geometry"),0.41
"C Equation of a Line For a Segment",("S Greatest Common Divisor"),0.86
"C Equation of a Line For a Segment",("S Line Equation"),0.58
"C Equation of a Line For a Segment",("S Normalization"),0.68
"C Equation of a Line For a Segment",("S Two-Dimesional Plane"),0.53
"C Equation of a Line For a Segment",("S Vector"),0.74
"C Equation of a Line For a Segment",(NOT "S Modular Multiplicative Inverse"),0.5
"C Euler Tour",("S Cycles"),0.48
"C Euler Tour",("S Eulerian Cycle"),0.68
"C Euler Tour",("S Graph";"S Cycles";"S Eulerian Cycle"),0.02
"C Euler Tour",("S Graph"),0.84
"C Euler Tour",(NOT "S String Comparing"),0.64
"C Euler's Totient Function",("S Chinese Remainder Theorem"),0.72
"C Euler's Totient Function",("S Coprime"),0.99
"C Euler's Totient Function",("S Greatest Common Divisor"),0.05
"C Euler's Totient Function",("S Least Common Multiple"),0.27
"C Euler's Totient Function",("S Modular Multiplicative Inverse"),0.54
"C Euler's Totient Function",("S Modular Operation"),0.34
"C Euler's Totient Function",("S Prime Numbers";"S Greatest Common Divisor";"S Chinese Remainder Theorem";"S Relatively Prime";"S Coprime";"S Modular Operation";"S Sieve of Erasthothenes";"S Modular Multiplicative Inverse";"S Least Common Multiple"),0.08
"C Euler's Totient Function",("S Prime Numbers"),0.18
"C Euler's Totient Function",("S Relatively Prime"),0.68
"C Euler's Totient Function",("S Sieve of Erasthothenes"),0.65
"C Euler's Totient Function",(NOT "S Acyclic"),0.64
"C Fast Fourier Transformation",("S Coefficient Vector"),0.08
"C Fast Fourier Transformation",("S Divide and Conquer"),0.66
"C Fast Fourier Transformation",("S Multiply Polynomials";"S Divide and Conquer";"S Coefficient Vector";"S Scalar Product";"S String Matching"),0.08
"C Fast Fourier Transformation",("S Multiply Polynomials"),0.41
"C Fast Fourier Transformation",("S Scalar Product"),0.3
"C Fast Fourier Transformation",("S String Matching"),0.21
"C Fast Fourier Transformation",(NOT "S Geometry"),0.5
"C Fenwick Tree",("S Binary Associative Function"),0.53
"C Fenwick Tree",("S Binary Indexed Tree";"S Sum of Values";"S Binary Associative Function";"S Bitwise Operations";"S Minimum of Range";"S Data Structure"),0.09
"C Fenwick Tree",("S Binary Indexed Tree"),0.28
"C Fenwick Tree",("S Bitwise Operations"),0.64
"C Fenwick Tree",("S Data Structure"),0.09
"C Fenwick Tree",("S Minimum of Range"),0.29
"C Fenwick Tree",("S Sum of Values"),0.38
"C Fenwick Tree",(NOT "S Fast Fourier Transformation"),0.26
"C Finding Bridges",("S Acyclic Graph"),0.66
"C Finding Bridges",("S Connected Components"),0.37
"C Finding Bridges",("S Depth First Search"),0.58
"C Finding Bridges",("S Disjoint Set Union"),0.61
"C Finding Bridges",("S Graph";"S Undirected Graph";"S Depth First Search";"S Connected Components";"S Disjoint Set Union";"S Acyclic Graph"),0.06
"C Finding Bridges",("S Graph"),0.57
"C Finding Bridges",("S Undirected Graph"),0.82
"C Finding Bridges",(NOT "S Extended Euclidian Algorithm"),0.21
"C Finding Connected Components",("S Breadth First Search"),0.01
"C Finding Connected Components",("S Connected Path"),0.6
"C Finding Connected Components",("S Depth First Search"),0.64
"C Finding Connected Components",("S Graph";"S Undirected Graph";"S Breadth First Search";"S Depth First Search";"S Connected Path"),0.03
"C Finding Connected Components",("S Graph"),0.22
"C Finding Connected Components",("S Undirected Graph"),0.58
"C Finding Connected Components",(NOT "S Fermat"),0.36
"C Floyd-Warshall",("S Directed Graph"),0.05
"C Floyd-Warshall",("S Graph";"S Directed Graph";"S Undirected Unweighted Graph";"S Negative Weight Edges";"S Weighted Graph"),0.01
"C Floyd-Warshall",("S Graph"),0.74
"C Floyd-Warshall",("S Negative Weight Edges"),0.08
"C Floyd-Warshall",("S Undirected Unweighted Graph"),0.25
"C Floyd-Warshall",("S Weighted Graph"),0.65
"C Floyd-Warshall",(NOT "S Hashing"),0.41
"C Ford-Fulkerson and Edmonds-Karp",("S Breadth First Search"),0.86
"C Ford-Fulkerson and Edmonds-Karp",("S Depth First Search"),0.65
"C Ford-Fulkerson and Edmonds-Karp",("S Graph";"S Maximum Flow";"S Residual Capacity";"S Residual Network";"S Depth First Search";"S Breadth First Search";"S Max-Flow Min-Cut";"S "),0.07
"C Ford-Fulkerson and Edmonds-Karp",("S Graph"),0.73
"C Ford-Fulkerson and Edmonds-Karp",("S Max-Flow Min-Cut"),0.23
"C Ford-Fulkerson and Edmonds-Karp",("S Maximum Flow"),0.99
"C Ford-Fulkerson and Edmonds-Karp",("S Residual Capacity"),0.29
"C Ford-Fulkerson and Edmonds-Karp",("S Residual Network"),0.36
"C Ford-Fulkerson and Edmonds-Karp",(NOT "S Delaunay Triangulation"),0.93
"C Greatest Common Divisor",("S Greatest common divisor"),0.08
"C Greatest Common Divisor",("S Least common multiple"),0.28
"C Greatest Common Divisor",("S Modular Division";"S Greatest common divisor";"S Least common multiple"),0.07
"C Greatest Common Divisor",("S Modular Division"),0.87
"C Greatest Common Divisor",(NOT "S Graph"),0.27
"C Hashing",("S Modular Multiplicative Inverse"),0.25
"C Hashing",("S Modular Operations"),0.92
"C Hashing",("S Prime Numbers"),0.04
"C Hashing",("S Probability"),0.61
"C Hashing",("S String Comparing";"S Modular Operations";"S Prime Numbers";"S Probability";"S Modular Multiplicative Inverse"),0.03
"C Hashing",("S String Comparing"),0.4
"C Hashing",(NOT "S Geometry"),0.03
